ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
Leuven1.txt,193447,951,193408,951,193206,950,193343,970,193347,969,193361,961,193353,953,193437,956,193269,958,193408,965
Leuven2.txt,112008,1510,111929,1573,111919,1519,111917,1490,111881,1557,112010,1518,111858,1455,112027,1544,111985,1495,111837,1488
Antwerp1.txt,478717,1241,478641,1261,478456,1242,478608,1244,478752,1252,478521,1255,478712,1247,478870,1242,478576,1248,478557,1240
Antwerp2.txt,292733,1446,292651,1548,292816,1541,292317,1460,292527,1510,292647,1519,292631,1495,292531,1521,292559,1496,292867,1515
Ghent1.txt,470844,1612,470857,1563,471107,1626,470894,1617,470813,1604,470963,1637,471061,1579,470994,1600,470967,1600,470878,1586
Ghent2.txt,258891,2308,258809,2273,259121,2113,258823,2267,259016,2401,258826,2283,258745,2332,258827,2339,259059,2245,258795,2284
Brussels1.txt,503746,1955,503965,1957,503724,2036,503947,2032,503703,1992,503681,2022,503645,2034,504007,2048,503771,1955,503893,2033
Brussels2.txt,347426,2599,347598,2526,347490,2585,347442,2686,347665,2578,347271,2460,347398,2530,347476,2614,347387,2553,347749,2509
Flanders1.txt,7267315,3290,7263215,3273,7266758,3295,7266067,3225,7265670,3297,7264574,3284,7262945,3290,7263352,3285,7267358,3313,7265825,3211
Flanders2.txt,4402154,6248,4405252,6217,4403205,6390,4399380,6165,4402298,6217,4404774,6226,4409489,6184,4402166,5782,4400506,6146,4400752,6362
