ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
Leuven1.txt,194097,97,193875,98,193862,95,193775,95,193765,95,193866,94,193759,94,193978,96,193842,94,193897,96
Leuven2.txt,112473,142,112547,145,112632,145,112625,136,112620,141,112288,139,112492,142,112725,148,112526,137,112434,141
Antwerp1.txt,480409,123,480064,125,480310,125,480170,122,480137,123,480163,123,480064,124,480350,122,480262,125,479859,124
Antwerp2.txt,294518,138,294340,140,294349,139,294435,140,294792,142,294321,140,294724,140,294895,136,294329,138,294788,140
Ghent1.txt,473030,157,472950,162,473077,159,473080,160,473090,167,472840,159,472996,157,473017,162,472982,164,473041,159
Ghent2.txt,261752,197,261571,198,261803,191,261601,199,261709,195,261401,202,261611,198,261573,203,261870,192,261545,205
Brussels1.txt,507200,192,507262,199,507181,194,506922,201,506842,194,507277,203,507383,194,507110,195,507177,201,506967,195
Brussels2.txt,352482,229,352359,221,352251,236,352520,227,352358,228,352050,213,352512,226,352897,230,352263,236,352518,230
Flanders1.txt,7298152,296,7297535,307,7300164,309,7297933,312,7297410,309,7300477,312,7296059,302,7301358,288,7298751,290,7298813,305
Flanders2.txt,4461411,492,4467355,480,4464842,485,4460180,501,4464404,465,4469109,475,4462165,498,4471044,453,4464890,503,4468595,470
