ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
X-n101-k25.vrp,27591,577,27591,574,27591,560,27591,570,27591,569,27591,571,27591,573,27591,563,27591,568,27591,569
X-n106-k14.vrp,26362,961,26362,815,26362,854,26383,1037,26362,885,26362,890,26383,1014,26376,997,26370,803,26362,967
X-n110-k13.vrp,14971,766,14971,787,14971,765,14971,765,14971,766,14971,764,14971,761,14971,761,14971,766,14971,766
X-n115-k10.vrp,12747,779,12747,805,12747,776,12747,776,12747,795,12747,787,12747,783,12747,781,12747,782,12747,781
X-n120-k6.vrp,13332,819,13332,810,13332,814,13332,815,13332,812,13332,814,13332,814,13332,813,13332,812,13332,808
X-n125-k30.vrp,55546,563,55716,501,55716,617,55541,661,55562,575,55546,589,55539,546,55546,537,55539,529,55690,505
X-n129-k18.vrp,28952,850,28948,840,28940,751,28954,858,28948,849,28948,766,28948,863,28948,827,28948,859,28948,784
X-n134-k13.vrp,10916,782,10916,750,10928,823,10933,808,10916,736,10921,783,10916,698,10916,769,10933,792,10930,821
X-n139-k10.vrp,13590,1018,13590,1006,13590,982,13590,986,13590,1018,13590,976,13590,973,13590,1010,13590,1001,13590,1005
X-n143-k7.vrp,15724,877,15726,676,15726,846,15726,733,15708,830,15700,792,15726,774,15715,763,15726,745,15726,831
X-n148-k46.vrp,43580,746,43448,713,43448,695,43448,732,43448,683,43448,536,43448,738,43448,676,43576,753,43449,757
X-n153-k22.vrp,21225,710,21225,638,21225,589,21225,632,21225,650,21254,978,21225,618,21225,609,21225,592,21225,669
X-n157-k13.vrp,16876,1329,16876,1460,16876,1326,16876,1471,16876,1248,16876,1327,16876,1166,16876,1266,16876,1284,16876,1234
X-n162-k11.vrp,14156,894,14156,892,14153,893,14147,766,14150,977,14153,746,14147,891,14150,788,14150,919,14153,841
X-n167-k10.vrp,20557,1014,20557,1023,20557,959,20557,867,20557,881,20557,970,20557,909,20557,1001,20557,843,20557,881
X-n172-k51.vrp,45607,579,45607,607,45607,619,45607,637,45607,640,45607,631,45607,628,45607,582,45607,619,45607,599
X-n176-k26.vrp,47855,723,47855,721,47812,540,47856,657,47812,514,47835,749,47856,676,47859,733,47947,624,47812,541
X-n181-k23.vrp,25569,1190,25569,1044,25569,1020,25569,1151,25569,1147,25569,1160,25569,1054,25569,1043,25569,1145,25571,1012
X-n186-k15.vrp,24149,707,24149,592,24147,667,24173,677,24147,697,24147,765,24149,782,24147,775,24167,734,24147,714
X-n190-k8.vrp,16985,705,16980,776,16983,857,16980,783,16986,796,16983,700,16984,810,16980,773,16985,861,16985,824
X-n195-k51.vrp,44241,612,44225,603,44253,591,44309,699,44225,618,44238,520,44225,638,44260,417,44225,531,44225,585
X-n200-k36.vrp,58628,533,58624,524,58864,901,58867,826,58670,697,58828,741,58821,891,58819,670,58867,806,58866,914
X-n204-k19.vrp,19565,665,19565,586,19565,615,19565,710,19565,647,19565,703,19565,689,19565,663,19565,634,19570,709
X-n209-k16.vrp,30659,574,30659,608,30676,657,30676,634,30671,556,30676,599,30656,594,30680,624,30671,630,30684,640
