ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
X-n101-k25.vrp,27591,54,27591,55,27591,52,27591,54,27591,54,27591,55,27591,48,27591,45,27591,58,27591,57
X-n106-k14.vrp,26362,85,26383,107,26378,80,26383,94,26383,93,26375,101,26381,91,26383,91,26362,95,26389,107
X-n110-k13.vrp,14971,76,14971,76,14971,76,14971,76,14971,76,14971,75,14971,76,14971,77,14971,77,14971,77
X-n115-k10.vrp,12747,73,12747,78,12747,73,12747,74,12747,77,12747,77,12747,77,12747,75,12747,78,12747,77
X-n120-k6.vrp,13332,80,13332,78,13332,79,13332,79,13332,80,13332,79,13332,80,13332,77,13332,76,13332,81
X-n125-k30.vrp,55690,55,56019,71,56019,68,55883,60,55883,56,55763,63,55866,49,55700,48,56019,66,55883,45
X-n129-k18.vrp,28948,78,28948,77,28971,79,28995,72,28948,71,28948,74,28948,70,28956,83,28971,79,28948,75
X-n134-k13.vrp,10933,68,10934,76,10933,72,10933,69,10944,68,10933,78,10933,72,10933,63,10916,71,10933,78
X-n139-k10.vrp,13590,95,13590,96,13590,86,13590,91,13590,91,13590,91,13590,82,13590,80,13590,93,13590,99
X-n143-k7.vrp,15726,75,15726,59,15726,73,15726,70,15726,66,15726,59,15726,68,15700,57,15726,86,15726,71
X-n148-k46.vrp,43592,53,43474,77,43448,53,43566,58,43611,50,43448,56,43566,71,43566,66,43448,70,43448,79
X-n153-k22.vrp,21225,65,21268,99,21337,94,21311,95,21225,69,21225,61,21225,57,21225,59,21301,97,21300,95
X-n157-k13.vrp,16876,126,16876,119,16876,107,16876,146,16876,108,16876,114,16876,125,16876,108,16876,132,16876,107
X-n162-k11.vrp,14171,76,14171,76,14171,75,14156,88,14153,79,14150,98,14171,80,14167,91,14153,94,14171,86
X-n167-k10.vrp,20583,62,20557,99,20557,89,20583,79,20557,75,20557,88,20557,91,20557,81,20557,75,20583,67
X-n172-k51.vrp,45607,62,45607,59,45607,60,45607,58,45607,58,45674,60,45607,61,45607,57,45607,62,45607,54
X-n176-k26.vrp,47825,64,48169,62,47944,52,47961,57,47856,66,47954,53,48245,66,47856,57,48014,51,48140,62
