ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
Valle-D-Aosta.vrp,21718527,2648,21705778,2589,21704456,2621,21720538,2676,21699191,2523,21707800,2554,21701878,2624,21708784,2684,21710364,2673,21695858,2612
Molise.vrp,111351002,1912,111347955,1913,111385183,1894,111374005,1875,111344027,1893,111379134,1889,111370269,1878,111370399,1901,111325314,1946,111352220,1912
Trentino-Alto-Adige.vrp,102530018,2324,102407128,2285,102441301,2282,102521310,2344,102560943,2290,102403353,2267,102377714,2289,102389241,2271,102500187,2320,102537523,2253
Basilicata.vrp,176231850,2795,176073603,2691,176412618,2732,176035540,2716,176190833,2667,176388464,2800,176154109,2703,176082185,2680,175912435,2735,176153926,2703
Umbria.vrp,546161989,2078,546145502,2111,546189885,2132,546107209,2094,546289321,2129,546164865,2106,546210230,2181,546178238,2137,546157227,2130,546217051,2139
Abruzzo.vrp,312583155,2615,312626099,2605,312763388,2644,312648758,2572,312482780,2581,312534147,2635,312625247,2635,312464370,2650,312497604,2666,312623573,2524
Friuli-Venezia-Giulia.vrp,416792363,3760,416907592,4347,416744431,3641,417156573,4418,416700693,4130,416975506,4140,416861047,4469,416608704,3860,416803297,4335,416842636,4063
Liguria.vrp,1427336377,2984,1427361782,2925,1427397557,2954,1427321099,3026,1427370527,3026,1427301906,2939,1427367590,2915,1427358152,2928,1427368747,2986,1427373017,2959
Calabria.vrp,1967272793,2296,1967301509,2280,1967344861,2275,1967095117,2301,1967461185,2306,1967021374,2305,1967939652,2333,1967614726,2302,1967018808,2305,1966869364,2284
Marche.vrp,421515379,3593,421628418,3530,421767738,3829,421574275,3632,421568761,3787,421415018,3733,421537048,3394,421589972,3682,421628895,3545,421649039,3613
Sardegna.vrp,835977702,2589,833140455,2679,834324064,2655,832956060,2703,834316283,2680,834525206,2614,834664021,2717,835221724,2815,833403974,2738,835100403,2707
Campania.vrp,393451652,4725,393383847,4132,393261559,4083,393144647,4740,393348564,4837,393222607,4048,393408521,4562,393231559,4215,393395248,4609,393332425,4216
Piemonte.vrp,2631417401,2700,2631397710,2710,2631532361,2757,2631274706,2632,2631278870,2685,2631893329,2773,2631132584,2743,2631084526,2711,2631342714,2781,2631510747,2721
Toscana.vrp,1088016920,6069,1087913518,5242,1088333435,6159,1087559376,5380,1087488734,6154,1088751395,6544,1087975452,5286,1088183063,5787,1087887858,5479,1088317541,5827
Puglia.vrp,1477063810,2877,1474127935,2944,1477823397,2915,1474463382,2937,1475958648,2940,1475505847,2943,1474545186,3021,1474716699,2969,1476071471,3038,1476699513,2984
Sicilia.vrp,1784047334,3327,1784687979,3210,1787616873,3291,1786161593,3284,1783651067,3268,1785049282,3254,1786501347,3455,1785206753,3350,1783139338,3339,1787602802,3199
Veneto.vrp,1053511387,4972,1053500498,5151,1053711129,5167,1053137871,4724,1053477784,5111,1053543219,5172,1053725154,5154,1053623864,5024,1053447175,5346,1054066730,5493
Emilia-Romagna.vrp,5410102809,3278,5410343301,3247,5410554067,3224,5410788302,3206,5410576329,3297,5410433830,3230,5410498821,3319,5410695937,3286,5410116583,3313,5410417336,3231
Lombardia.vrp,1344875727,8292,1344573299,8743,1344238945,7227,1343849669,6994,1345183694,7926,1344403689,9169,1344273438,8349,1344231651,8051,1344339203,7521,1344738660,7623
Lazio.vrp,3149763113,3918,3149843065,3868,3149742806,3996,3150031772,3898,3149774751,3964,3149566722,3887,3149885498,3944,3150156225,4014,3149663415,3957,3149110146,3935
