ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
Valle-D-Aosta.vrp,21739907,191,21727186,191,21738595,191,21739487,198,21758489,196,21747841,183,21745198,190,21728201,191,21738517,197,21748763,190
Molise.vrp,111602651,147,111587411,144,111596152,146,111681299,147,111695925,145,111703732,146,111674859,148,111679520,144,111596395,145,111618183,146
Trentino-Alto-Adige.vrp,102968861,187,102941466,197,102969238,187,103045033,199,103161848,198,102893864,192,102952995,189,102930645,192,103040154,197,103074598,201
Basilicata.vrp,177013452,188,177128201,186,177237613,186,176725577,181,177012772,184,177136287,184,176875963,186,176844884,185,176651921,184,176690715,183
Umbria.vrp,547065766,249,546920854,244,547179535,246,547078025,247,547124472,249,546997152,246,547024918,248,547220995,253,547025729,248,547052302,246
Abruzzo.vrp,314215778,284,313819014,263,314184228,290,314157723,271,314008090,288,313844060,276,313956964,277,313771231,276,313934202,279,314052357,278
Friuli-Venezia-Giulia.vrp,418132487,393,418432870,371,418390344,407,418696730,375,418034067,394,418510009,368,418157231,393,418071754,352,418254173,397,418282806,483
Liguria.vrp,1429418739,347,1428996995,331,1429243353,326,1429048567,318,1429107588,342,1428920402,331,1429303646,327,1429480256,337,1429344445,328,1429575781,329
Calabria.vrp,1972240173,289,1972256142,293,1972563806,287,1972810681,285,1972408595,296,1971936026,290,1972759648,297,1972940823,296,1972419398,296,1971793003,293
Marche.vrp,423368997,407,423516225,423,423608110,400,423235112,414,423455580,391,423197550,410,423305464,406,423560030,430,423281036,406,423509797,389
Sardegna.vrp,842633453,313,840763971,313,839799848,310,841240074,320,840494924,312,840500959,320,841723214,322,841422764,324,842624138,319,841102874,312
Campania.vrp,396053478,412,395503043,409,395776368,437,395768006,441,395640547,431,396155167,407,395625205,406,395904845,428,395983256,412,395874376,414
Piemonte.vrp,2635769560,403,2635949419,403,2635861544,404,2635808650,403,2636210431,402,2636543526,400,2635542258,403,2635242281,407,2636001932,413,2636060763,398
Toscana.vrp,1093200977,484,1092474217,479,1093309861,491,1092682891,465,1091915922,512,1093602239,497,1092481041,482,1093023056,494,1092238265,489,1093137844,489
Puglia.vrp,1486785472,433,1485951801,435,1487264755,433,1486192277,431,1486944658,433,1486802826,438,1484768496,439,1487476663,437,1488081019,442,1485918827,434
Sicilia.vrp,1798134368,469,1798033250,466,1797450344,466,1798949337,465,1796152656,462,1798407084,456,1799536760,488,1799123353,477,1799139118,479,1797608589,463
Veneto.vrp,1058017083,597,1058010562,584,1057901179,606,1056993062,588,1057785472,589,1057685931,619,1058030071,603,1058204313,624,1057622699,606,1058847858,589
Emilia-Romagna.vrp,5418329913,496,5418319172,498,5419143070,496,5418197326,504,5418172809,496,5418876930,500,5417771993,508,5417952646,508,5418255997,506,5417490190,499
Lombardia.vrp,1350301119,576,1350300979,568,1349827838,547,1349218148,555,1350155032,567,1350533530,546,1349562575,567,1349412173,565,1349566128,564,1349998516,566
Lazio.vrp,3157660218,531,3157142153,531,3157284501,531,3157715729,529,3157519727,527,3157896137,526,3158797308,540,3158920638,540,3157464652,540,3157801758,528
