ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
X-n101-k25.vrp,27591,534,27591,531,27591,538,27591,527,27591,537,27591,540,27591,533,27591,531,27591,535,27591,536
X-n106-k14.vrp,26362,775,26362,913,26362,948,26362,968,26362,840,26362,954,26362,830,26370,922,26362,898,26362,861
X-n110-k13.vrp,14971,782,14971,782,14971,782,14971,782,14971,780,14971,781,14971,781,14971,784,14971,782,14971,781
X-n115-k10.vrp,12747,733,12747,734,12747,729,12747,736,12747,731,12747,736,12747,729,12747,732,12747,734,12747,734
X-n120-k6.vrp,13332,851,13332,850,13332,849,13332,852,13332,841,13332,853,13332,849,13332,844,13332,851,13332,852
X-n125-k30.vrp,55539,397,55587,560,55546,441,55587,548,55694,564,55702,606,55587,425,55587,561,55539,564,55551,566
X-n129-k18.vrp,28948,765,28948,777,28940,709,28954,772,28948,854,28948,749,28948,828,28940,634,28948,719,28948,836
X-n134-k13.vrp,10916,774,10916,747,10916,741,10917,749,10933,792,10916,756,10920,799,10916,773,10916,715,10933,794
X-n139-k10.vrp,13590,990,13590,1001,13590,994,13590,992,13590,995,13590,998,13590,996,13590,1004,13590,1002,13590,1006
X-n143-k7.vrp,15718,820,15700,567,15726,923,15724,879,15700,753,15719,794,15700,799,15726,779,15718,794,15700,637
X-n148-k46.vrp,43573,658,43448,699,43448,593,43448,595,43448,656,43583,680,43448,493,43448,645,43574,631,43461,671
X-n153-k22.vrp,21225,576,21225,551,21225,601,21225,619,21225,594,21225,588,21225,557,21225,611,21225,580,21225,580
X-n157-k13.vrp,16876,1395,16876,1300,16876,1306,16876,1281,16876,1371,16876,1304,16876,1384,16876,1339,16876,1416,16876,1249
X-n162-k11.vrp,14138,795,14147,801,14150,887,14138,943,14138,866,14150,1021,14150,834,14150,835,14150,858,14138,809
X-n167-k10.vrp,20557,897,20557,888,20557,847,20557,814,20557,821,20557,794,20557,907,20557,897,20557,796,20557,778
X-n172-k51.vrp,45607,602,45607,574,45607,605,45607,509,45607,540,45607,614,45607,649,45607,640,45607,563,45607,538
X-n176-k26.vrp,47856,655,47812,490,48152,783,47838,621,47812,505,47856,660,47852,742,47856,639,47858,782,47856,665
X-n181-k23.vrp,25569,977,25569,1036,25569,985,25569,1010,25569,990,25569,1014,25569,1061,25569,1079,25569,1028,25569,1153
X-n186-k15.vrp,24180,816,24145,594,24163,765,24147,693,24167,699,24164,744,24147,684,24147,672,24156,756,24149,614
X-n190-k8.vrp,16983,906,16983,887,16983,746,16980,695,16984,846,16983,763,16986,992,16983,740,16983,736,16983,776
X-n195-k51.vrp,44241,463,44225,593,44241,466,44225,512,44225,550,44241,524,44324,541,44241,538,44326,531,44253,550
X-n200-k36.vrp,58641,523,58621,590,58651,660,58825,632,58859,807,58867,731,58819,662,58587,540,58867,664,58828,607
X-n204-k19.vrp,19565,697,19565,677,19565,686,19565,779,19565,687,19565,655,19565,648,19565,716,19565,689,19565,695
X-n209-k16.vrp,30671,570,30659,582,30665,613,30671,592,30671,568,30659,617,30663,581,30656,610,30685,625,30663,634
X-n214-k11.vrp,10870,583,10870,614,10889,701,10870,622,10887,615,10873,597,10881,603,10888,634,10867,539,10871,632
X-n219-k73.vrp,117595,2387,117595,2581,117595,2548,117595,2434,117595,2522,117595,2508,117595,2507,117595,2505,117595,2533,117595,2409
X-n223-k34.vrp,40505,528,40505,538,40505,579,40503,493,40521,557,40505,559,40523,571,40510,512,40538,602,40503,547
X-n228-k23.vrp,25783,607,25793,756,25782,605,25785,579,25783,625,25782,642,25743,574,25794,869,25785,672,25743,636
X-n233-k16.vrp,19230,691,19276,812,19331,731,19289,794,19331,667,19266,821,19280,807,19331,719,19310,665,19331,752
X-n237-k14.vrp,27044,1211,27042,1096,27042,1131,27044,1254,27065,1255,27042,985,27042,1023,27042,1177,27042,1024,27042,1004
X-n242-k48.vrp,82848,728,82848,691,83023,694,82921,720,82784,651,82901,1047,82862,928,82825,803,82909,885,82846,630
X-n247-k50.vrp,37545,758,37391,766,37448,720,37450,706,37545,736,37285,740,37534,761,37545,691,37456,1030,37355,782
X-n251-k28.vrp,38749,748,38807,729,38751,785,38826,889,38801,594,38810,860,38759,675,38807,786,38751,645,38791,786
X-n256-k16.vrp,18880,955,18880,1012,18880,941,18880,883,18880,1055,18880,932,18880,1022,18880,933,18880,1037,18880,935
X-n261-k13.vrp,26607,623,26686,1003,26627,608,26691,780,26612,661,26690,860,26561,612,26622,632,26597,599,26615,547
X-n266-k58.vrp,75798,985,75821,1013,75782,1174,75670,830,75623,663,75938,1139,75782,1121,75741,942,75780,644,75634,898
X-n270-k35.vrp,35324,644,35324,627,35309,576,35309,604,35386,770,35386,664,35322,635,35309,575,35380,680,35367,626
X-n275-k28.vrp,21270,1080,21245,984,21245,919,21245,960,21245,964,21245,1063,21245,1052,21245,1004,21245,959,21245,955
X-n280-k17.vrp,33524,597,33667,705,33670,715,33537,613,33562,681,33641,885,33627,864,33571,623,33623,968,33640,783
X-n284-k15.vrp,20257,661,20275,748,20265,637,20235,609,20264,598,20307,667,20278,688,20278,635,20272,764,20265,683
X-n289-k60.vrp,95540,991,95524,962,95629,791,95396,807,95517,957,95533,955,95545,719,95505,676,95477,785,95557,825
X-n294-k50.vrp,47240,489,47259,429,47320,486,47253,513,47250,438,47236,427,47234,517,47257,476,47250,481,47266,527
X-n298-k31.vrp,34308,578,34308,552,34234,515,34231,476,34304,469,34304,587,34301,643,34304,594,34259,516,34319,618
X-n303-k21.vrp,21808,513,21807,524,21789,516,21812,552,21818,499,21807,512,21791,525,21762,494,21824,593,21838,664
X-n308-k13.vrp,26061,719,25924,779,25870,681,25909,709,25897,733,25990,804,25923,763,25909,653,25870,757,25924,749
X-n313-k71.vrp,94303,727,94307,659,94325,608,94330,707,94254,740,94506,667,94323,646,94304,658,94290,650,94300,569
X-n317-k53.vrp,78355,1386,78355,1479,78360,1514,78355,1492,78355,1469,78357,1499,78359,1421,78355,1507,78355,1483,78355,1390
X-n322-k28.vrp,29866,506,29974,623,29891,544,29956,654,29956,687,29955,616,29899,566,29955,595,29955,610,29981,574
X-n327-k20.vrp,27620,830,27588,717,27619,887,27619,928,27610,817,27619,859,27532,685,27613,810,27591,653,27618,812
