ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
X-n101-k25.vrp,27591,44,27591,51,27591,52,27591,50,27591,53,27591,44,27591,51,27591,50,27591,51,27591,46
X-n106-k14.vrp,26364,93,26383,95,26376,102,26381,71,26378,93,26370,69,26362,76,26375,100,26391,97,26362,87
X-n110-k13.vrp,14971,78,14971,78,14971,78,14971,77,14971,77,14971,77,14971,77,14971,78,14971,78,14971,78
X-n115-k10.vrp,12747,69,12747,73,12747,72,12747,73,12747,70,12747,72,12747,73,12747,70,12747,71,12747,72
X-n120-k6.vrp,13332,84,13332,83,13332,80,13332,85,13332,84,13332,81,13332,83,13332,83,13332,83,13332,84
X-n125-k30.vrp,56019,70,55878,45,56014,51,55701,61,55702,56,55757,44,55581,45,56019,63,55904,62,55698,60
X-n129-k18.vrp,28984,63,28971,67,28979,68,28952,75,28948,67,28940,60,28956,78,28940,60,28954,73,28971,72
X-n134-k13.vrp,10933,69,10933,71,10933,71,10933,72,10940,68,10940,71,10933,78,10933,65,10933,82,10916,63
X-n139-k10.vrp,13590,95,13590,93,13590,94,13590,92,13590,97,13590,92,13590,96,13590,99,13590,95,13590,93
X-n143-k7.vrp,15726,70,15726,66,15726,59,15726,68,15726,73,15726,86,15726,63,15700,60,15726,61,15724,69
X-n148-k46.vrp,43448,45,43658,43,43448,56,43566,62,43592,56,43448,52,43540,59,43566,56,43448,45,43448,63
X-n153-k22.vrp,21225,56,21225,58,21366,53,21248,81,21303,87,21225,58,21225,61,21296,87,21366,60,21366,62
X-n157-k13.vrp,16876,106,16876,122,16876,113,16876,113,16876,108,16876,96,16876,107,16876,126,16876,117,16876,117
X-n162-k11.vrp,14153,91,14153,81,14147,62,14138,56,14169,83,14153,78,14156,93,14138,54,14156,89,14138,64
X-n167-k10.vrp,20583,86,20583,85,20557,69,20589,100,20572,96,20583,96,20583,84,20583,77,20583,81,20557,74
X-n172-k51.vrp,45607,47,45607,57,45607,49,45607,54,45607,49,45607,55,45607,56,45607,53,45607,51,45607,46
X-n176-k26.vrp,47812,42,48355,55,48263,63,47858,51,47856,56,47901,57,48072,63,48255,54,47856,43,48295,51
X-n181-k23.vrp,25569,99,25569,111,25587,128,25591,112,25573,99,25573,91,25573,94,25569,97,25573,96,25577,115
X-n186-k15.vrp,24165,78,24157,58,24154,61,24147,52,24147,68,24149,67,24196,74,24154,64,24149,56,24149,63
X-n190-k8.vrp,16985,75,16994,83,16983,79,16995,70,16983,80,16986,74,16999,73,16985,88,16987,74,16983,71
X-n195-k51.vrp,44371,54,44298,46,44253,50,44253,55,44258,47,44408,52,44253,48,44417,51,44351,56,44360,60
X-n200-k36.vrp,58854,57,58898,58,58873,52,58890,60,58867,55,58896,68,58839,64,58853,53,59039,48,58878,52
X-n204-k19.vrp,19570,61,19570,60,19565,59,19570,60,19570,54,19570,59,19570,58,19565,63,19699,79,19574,72
X-n209-k16.vrp,30659,57,30685,63,30688,62,30665,55,30696,57,30685,55,30699,52,30685,61,30685,59,30684,57
X-n214-k11.vrp,10861,59,10875,65,10895,56,10889,59,10876,64,10909,75,10875,52,10900,56,10887,59,10870,59
X-n219-k73.vrp,117595,245,117595,240,117595,215,117595,234,117595,223,117595,229,117595,218,117595,225,117595,254,117595,231
X-n223-k34.vrp,40523,55,40568,69,40474,46,40573,57,40682,64,40529,52,40552,62,40521,59,40571,66,40642,50
X-n228-k23.vrp,25797,55,25796,53,25785,72,25791,61,25840,53,25790,60,25796,54,25806,73,25787,60,25790,60
X-n233-k16.vrp,19327,77,19339,67,19230,54,19331,57,19331,58,19331,60,19338,61,19338,62,19261,64,19312,88
X-n237-k14.vrp,27048,111,27042,89,27050,108,27140,129,27042,92,27042,82,27042,92,27086,87,27042,92,27042,78
X-n242-k48.vrp,83092,60,82987,55,83084,58,82987,68,83063,67,82942,82,82925,70,82864,59,83006,70,82778,80
X-n247-k50.vrp,37657,73,37573,57,37483,58,37550,71,37654,76,37438,68,37546,73,37525,65,37281,55,37560,62
X-n251-k28.vrp,38832,72,38880,72,38855,63,38811,82,38866,95,38797,69,38831,68,38813,78,38812,72,38766,70
